"ID","questionNumber","CorrectAnswer","WrongAnswer1","WrongAnswer2","WrongAnswer3","WrongAnswer4","WrongAnswer5","Question Text","CorrectImage","WrongImage1","WrongImage2","WrongImage3","WrongImage4","WrongImage5","Included","ImageQuestion"
"[608651,489957742]","20","There is a calibration curve relating the current strength through the solenoid to the field strength produced in the pole shoe. The value is red from the intersection of the known current value with the curve.","There is a calibration curve relating the current strength through the solenoid to the field strength produced in the pole shoe. The value is red from the intersection of the known field value with the curve.","The field strength is measured using a magnetometer","The field strength is measured using a compass","The magnetic field induces an EMF that is registered by a wire and the current measured from this induced EMF is calculated from Lorenz Force equations","The deflection of a bar magnet suspended in the air by a string","How is the magnetic field strength determined?",#MEDIA,#MEDIA,#MEDIA,#MEDIA,#MEDIA,#MEDIA,0,0
"[608651,489957743]","21","1.2 A","10 mA","12 A","500 mA","4 A","6 A","What is the maximum coil current that should be applied in this experiment?",#MEDIA,#MEDIA,#MEDIA,#MEDIA,#MEDIA,#MEDIA,0,0
"[608651,489957744]","22","The calibration curve is only accurate to a maximum of 1.2 - 1.4 A","If the field is too large, the beam can go out of range of the detector and no peaks will be observed","It's possible to damage the coil circuit","The magnetic field could damage the detector wire","Magnetic remannce can become problematic","","What is a reason that you should not exceed 1.2 A through the coil?",#MEDIA,#MEDIA,#MEDIA,#MEDIA,#MEDIA,#MEDIA,0,0
"[608651,489957748]","23","The faster the particle is moving, the smaller the deviation in trjectory","The faster the particle is moving, the larger the deviation in the trajectory","The slower the particle is moving, the smaller the deviation in the trajectory","The deviation of the particle is independent of the particles speed","All of the particles trajectories deviate by the same amount because the magnetic field strength is constant","The particles don't change their trajectory because they don't experience any force during the entire trajectory","What how does the speed of a particle relate to the deviation of the trajectory at the detector plane?",#MEDIA,#MEDIA,#MEDIA,#MEDIA,#MEDIA,#MEDIA,0,0
"[608651,489957749]","24","The detector wire could burn out","To keep harmful potassium from collecting on the magnet","So that there is no heat conduction of air molecules in the oven","So that the magnetic can operate at a lower current","So that the detector wire can operate at a lower current","To keep the detector wire from corroding","What is a hardware consideration for requiring vacuum in the system?",#MEDIA,#MEDIA,#MEDIA,#MEDIA,#MEDIA,#MEDIA,0,0
"[608651,489957750]","25","To remove air molecules from the system so that they potassium does not collide and change their trajectory and minimize background signal","To keep too much potassium from reaching the detector wire","To force only thermal radiation from the oven (no convection or conduction)","The vacuum only allows certain values of the wavefunction within the setup","The vacuum helps the magnetic field lines to be more uniform","The vacuum helps deflect the atoms in addition to the magnet","There's a second important reason to require vacuum  for the system, what is it?",#MEDIA,#MEDIA,#MEDIA,#MEDIA,#MEDIA,#MEDIA,0,0
"[608651,489957751]","26","\(4 \times 10^{-6} \) mbar","\(4 \times 10^{-8} \) mbar","\(4 \times 10^{-4} \) mbar","\(4 \times 10^{-3} \) mbar","\(4 \times 10^{-5} \) mbar","\(4 \times 10^{-2} \) mbar","What order of magnitude should the vacuum achieve?",#MEDIA,#MEDIA,#MEDIA,#MEDIA,#MEDIA,#MEDIA,0,0
"[608651,489957752]","27","Turn the detector wire off and call the tutor","Go to lunch, the problem will correct itself over time","Call the fire brigade","There is probably a pressure leak, attempt to tighten one of the hose clamps","Increase the detector wire current so that the signal is further amplified against a higher background","Turn off the vacuum pump","What should you do if the pressure rises above \(1.0 \times 10^{-4} \) mbar?",#MEDIA,#MEDIA,#MEDIA,#MEDIA,#MEDIA,#MEDIA,0,0
"[608651,492411583]","28","Evaporating the potassium and passing the atoms through collimation","Evaporating the potassium and letting them flow in the direction of the vacuum","Allowing the potassium to decay through a very thin opening","Evaporating the potassium and forcing them into a beam using the magnetic field","The potassium decays and the resulting beam is generated via momentum conservation of the decay","","How is the atom beam produced in this experiment?",#MEDIA,#MEDIA,#MEDIA,#MEDIA,#MEDIA,#MEDIA,0,0
"[608651,492411585]","29","60\(^\circ\)C","90\(^\circ\)C","120\(^\circ\)C","30\(^\circ\)C","160\(^\circ\)C","220\(^\circ\)C","At what temperature does potassium evaporate at?",#MEDIA,#MEDIA,#MEDIA,#MEDIA,#MEDIA,#MEDIA,0,0
